NOM_RBD;NOM_COM_RBD
LICEO POLITECNICO ARICA;ARICA
ESC. PEDRO VICENTE GUTIERREZ TORRES;ARICA
LICEO OCTAVIO PALMA PEREZ;ARICA
JOVINA NARANJO FERNANDEZ;ARICA
L. POLI. ANTONIO VARAS DE LA BARRA;ARICA
COLEGIO INTEGRADO EDUARDO FREI MONTALVA;ARICA
ESCUELA REPUBLICA DE ISRAEL;ARICA
ESCUELA REPUBLICA DE FRANCIA;ARICA
ESC. GRAL. PEDRO LAGOS MARCHANT;ARICA
ESCUELA GRAL JOSE MIGUEL CARRERA;ARICA
ESCUELA MANUEL RODRIGUEZ ERDOYZA;ARICA
ESCUELA ROMULO J. PENA MATURANA;ARICA
LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI;ARICA
ESCUELA REGIMIENTO RANCAGUA;ARICA
ESCUELA SUBTTE. LUIS CRUZ MARTINEZ;ARICA
ESC. COMTE. JUAN JOSE SAN MARTIN;ARICA
ESC. HUMBERTO VALENZUELA GARCIA;ARICA
ESCUELA TUCAPEL;ARICA
ESCUELA GABRIELA MISTRAL;ARICA
COLEGIO CENTENARIO DE ARICA;ARICA
ESCUELA REPUBLICA DE ARGENTINA;ARICA
ESCUELA ESMERALDA;ARICA
ESCUELA RICARDO SILVA ARRIAGADA;ARICA
ESCUELA AMERICA;ARICA
ESCUELA DARIO SALAS DIAZ;ARICA
LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;ARICA
ESCUELA CARLOS CONDELL DE LA HAZA;ARICA
ESCUELA GRAL. MANUEL BAQUEDANO;ARICA
ESCUELA IGNACIO CARRERA PINTO;ARICA
ESCUELA ESPAÑA;ARICA
ESCUELA PAMPA ALGODONAL;ARICA
ESCUELA VALLE DE CHACA;ARICA
ESCUELA MOLINOS LLUTA;ARICA
COLEGIO ITALIANO SANTA ANA;ARICA
COLEGIO ADVENTISTA DE ARICA;ARICA
LICEO BICENTENARIO DOMINGO SANTA MARIA;ARICA
COLEGIO SAN MARCOS DE ARICA;ARICA
COLEGIO SAN JORGE;ARICA
COLEGIO ALEMAN DE ARICA;ARICA
ABRAHAM LINCOLN SCHOOL;ARICA
JUNIOR COLLEGE;ARICA
ESCUELA VALLE DE ESQUINA;CAMARONES
LICEO VALLE DE CODPA;CAMARONES
ESCUELA VALLE DE COBIJA;CAMARONES
ESCUELA VALLE DE CAMARONES;CAMARONES
ESCUELA VALLE DE GUANACAGUA;CAMARONES
