Region;Comuna;Establecimiento;Direccion
Region de Arica y Parinacota;Arica;Actividades Gestionadas por la Direccion del Servicio para apoyo de la Red (S.S de Arica);Calle Arturo Prat 305
Region de Arica y Parinacota;Arica;PRAIS (S.S Arica);Calle Arturo Prat 305
Region de Arica y Parinacota;Arica;Clinica Dental Movil Simple. Pat. PW4076 (Arica);Calle Arturo Prat 305
Region de Arica y Parinacota;Arica;Oficina Sanitaria Chacalluta;
Region de Arica y Parinacota;Arica;Hospital Dr. Juan Noe Crevanni (Arica);Calle 18 de Septiembre 1000
Region de Arica y Parinacota;Arica;Clinica Hebe;Calle San Marcos 431
Region de Arica y Parinacota;Arica;Clinica San Agustin;Calle 21 de Mayo 720
Region de Arica y Parinacota;Arica;Clinica San Jose;Calle Juan Noe 1370
Region de Arica y Parinacota;Arica;Clinica Arica;Avenida Argentina 2249
Region de Arica y Parinacota;Arica;Complejo Penitenciario;
Region de Arica y Parinacota;Arica;Servicio Medico Estudiantil;Calle 18 de Septiembre 2222
Region de Arica y Parinacota;Arica;Centro Clinico Militar Arica;Avenida Gral. Velasquez 1700
Region de Arica y Parinacota;Arica;Policlinico del Trabajador AChS Arica;Calle Juan Noe 1367
Region de Arica y Parinacota;Arica;Instituto de Rehabilitacion Infantil TELETON (Arica);Avenida Diego Portales 2471
Region de Arica y Parinacota;Arica;Centro Medico Monte Sinai;Calle Esmeralda 1319
Region de Arica y Parinacota;Arica;Clinica Santo Domingo;Calle Campo Verde 2188
Region de Arica y Parinacota;Arica;Centro Integral de Salud;Calle Vicuna Mackenna 644
Region de Arica y Parinacota;Arica;Policlinico Institucional de Gendarmeria de Chile (Arica);Calle Colon 30
Region de Arica y Parinacota;Arica;Policlinico del Agricultor;Avenida Manuel Castillo Ibaceta 3431
Region de Arica y Parinacota;Arica;Centro Odontologico Arisa;Calle Ricardo Silva Arriagada 482
Region de Arica y Parinacota;Arica;Centro de Salud Mutual CChC Arica;Avenida Argentina 2247
Region de Arica y Parinacota;Arica;Centro Dental Megasalud SpA;Calle San Marcos 121
Region de Arica y Parinacota;Arica;Clinica Dr. Hector Sanchez;Calle 18 de Septiembre 1286
Region de Arica y Parinacota;Arica;Clinica Mella Arica y Compania Ltda.;Calle Almirante Latorre 565
Region de Arica y Parinacota;Arica;Policlinico Medico-Dental de Carabineros;Calle 18 de Septiembre 1672
Region de Arica y Parinacota;Arica;Laboratorio Clinico San Jose Ltda.;Calle Juan Noe 1325
Region de Arica y Parinacota;Arica;Laboratorio Bionet;Calle 18 de Septiembre 1375
Region de Arica y Parinacota;Arica;Laboratorio Clinico y Hematologico Diagnotest;Calle Arturo Gallo 455
Region de Arica y Parinacota;Arica;Laboratorio Clinico Central;Calle Almirante Latorre 580
Region de Arica y Parinacota;Arica;Laboratorio Clinico San Martin;Calle Colon 330
Region de Arica y Parinacota;Arica;Laboratorio Clinico Dialab;Calle 18 de Septiembre 933
Region de Arica y Parinacota;Arica;Laboratorio Clinico del Norte - Labonorte;Calle Covadonga 286
Region de Arica y Parinacota;Arica;Laboratorio Clinico Chungara;Calle 18 de Septiembre 1315
Region de Arica y Parinacota;Arica;Laboratorio Clinico Biolascer;Calle 18 de Septiembre 1338
Region de Arica y Parinacota;Arica;Centro de Salud Familiar Victor Bertin Soto;Calle Belen 1635
Region de Arica y Parinacota;Arica;Centro de Salud Familiar Dr. Amador Neghme de Arica;Calle Cancha Rayada 4149
Region de Arica y Parinacota;Arica;Centro de Salud Familiar E. U. Iris Veliz Hume (Ex Oriente);Avenida Las Torres 2699
Region de Arica y Parinacota;Putre;Centro de Salud Familiar Putre;Calle Baquedano 261
Region de Arica y Parinacota;Arica;Centro de Salud Familiar Remigio Sapunar;Calle Silva Arriagada 1020
Region de Arica y Parinacota;Arica;Centro de Salud Ambiental de Arica;Calle San Martin 253
Region de Arica y Parinacota;Arica;Centro de Salud Familiar Eugenio Petruccelli Astudillo (ex Punta Norte);Avenida Linderos Poniente 4752
Region de Arica y Parinacota;Arica;Posta de Salud Rural San Miguel de Azapa;
Region de Arica y Parinacota;Arica;Posta de Salud Rural Poconchile;
Region de Arica y Parinacota;Putre;Posta de Salud Rural Belen (Putre);
