Nombre;Ciudad;Capacidad
Estadio Nacional Julio Martínez Prádanos;Santiago ;48 665​
Estadio Monumental David Arellano;Santiago ;47 347​
Estadio Ester Roa Rebolledo;Concepción;30 448
Estadio Sausalito;Viña del Mar;23 423
Estadio Regional Calvo y Bascuñán;Antofagasta;21 178
Estadio Elías Figueroa Brander;Valparaíso;20 575
Estadio Santa Laura - Universidad SEK;Santiago ;19 887
Estadio Francisco Sánchez Rumoroso;Coquimbo;18 750
Estadio Germán Becker;Temuco;18 413
Estadio La Portada;La Serena;18 243
Estadio Fiscal de Talca;Talca;16 070​
Estadio San Carlos de Apoquindo;Santiago ;14 780
Estadio El Teniente;Rancagua;13 849
Estadio Tierra de Campeones;Iquique;13 171
Estadio Zorros del Desierto;Calama;12 102
Estadio Bicentenario de La Florida;Santiago ;12 000
Estadio Bicentenario Nelson Oyarzún;Chillán;12 000
Estadio El Cobre;El Salvador;11 240​
Estadio Rubén Marcos Peralta;Osorno;11 000
Estadio Huachipato-CAP Acero;Talcahuano;10 500
Estadio Regional de Chinquihue;Puerto Montt;10 000
Estadio Municipal de San Felipe;San Felipe;10 000
Estadio Carlos Dittborn;Arica;9 625
Estadio Municipal Nicolás Chahuán Nazar;La Calera;9 200
Estadio Luis Valenzuela Hermosilla;Copiapó;8 500
Estadio La Granja;Curicó;8 278
Estadio Municipal de La Cisterna;Santiago ;8 000
Estadio Municipal Lucio Fariña Fernández;Quillota;7 700
Estadio El Morro;Talcahuano;7 000
Estadio Roberto Bravo Santibáñez;Melipilla;6 500
Estadio Municipal Jorge Silva Valenzuela;San Fernando;6 000
Estadio Municipal de La Pintana;Santiago ;6 000
Estadio Municipal Joaquín Muñoz García;Santa Cruz;6 000
Estadio Diaguita;Ovalle;5 160
Estadio Municipal Doctor Olegario Henríquez Escalante;San Antonio;5 000
Estadio Fiscal Manuel Moya Medel;Cauquenes;5 000
Estadio Municipal Nelson Rojas;Vallenar;5 000
Estadio Parque Municipal;Valdivia;5 000
Estadio Fiscal Antonio Rispoli Díaz;Punta Arenas;4 500
Estadio Municipal de Los Ángeles;Los Ángeles;4 150
Estadio Alberto Larraguibel;Angol;4 000
Estadio Federico Schwager;Coronel;4 000
Estadio Fiscal Tucapel Bustamante Lastra;Linares;4 000
Estadio Santiago Bueras;Santiago ;4 000
Estadio Lautaro de Buin;Buin;3 700
Estadio Municipal de San Joaquín;Santiago ;3 500
Estadio Municipal Luis Navarro Avilés;San Bernardo;3 500
Estadio Municipal Ítalo Composto Scarpatti;Villa Alemana;3 500
Estadio Regional de Los Andes;Los Andes;3 300
Estadio Municipal Augusto Rodríguez;San Vicente de Tagua Tagua;3 000
Estadio Municipal de Lo Barnechea;Santiago ;2 500
Estadio Municipal Raúl Vargas Verdejo;Quintero;2 500
Estadio Municipal Leonel Sánchez Lineros;Santiago ;2 000
;;
Nombre;Ciudad;Capacidad
Estadio Municipal Miguel Riffo León;Graneros;7000
Estadio Atlético Mario Recordón;Santiago ;5500
Estadio Municipal Guillermo Guzmán Díaz;Rengo;5000
Estadio Municipal Ascanio Cortés Torres;Tocopilla;5000
Estadio Reinaldo Martín Müller;Santiago ;5000
Estadio Monumental Arístides Bahamondes;Chillán Viejo;5000
Estadio Anaconda;Chuquicamata;5000
Estadio Luis Becerra Constanzo;Calama;4000
Estadio Municipal de Alto Hospicio;Alto Hospicio;4000
Estadio Parque Juan López;Antofagasta;4000
Estadio La Pampilla;Coquimbo;4000
Estadio Félix Gallardo;Valdivia;4000
Estadio Municipal Manuel Rojas del Río;Colina;4000
Estadio Municipal Carlos Vogel Meyer;La Unión;4000
Estadio Municipal de Castro;Castro;4000
Estadio Vulco;Santiago ;4000
Estadio Alberto Allaire;Osorno ;4000
Estadio Municipal de Illapel;Illapel;4000
Estadio O'Higgins;Valparaíso;4000
Estadio Manquehue;Santiago ;4000
Estadio USACH;Santiago ;3500
"Cancha N° 3 ""Alfredo Rossi Montana""";;3500
Estadio Municipal Sila Smith;San Nicolás;3500
Estadio Municipal de Cavancha;Iquique;3300
Estadio ANFA Chillán;Chillán;3200
Estadio Municipal de Yumbel;Yumbel;3000
Estadio Municipal Raúl Erazo;Curanilahue;3000
Estadio Luis Álamos Luque;Chañaral;3000
Estadio La Caldera;Caldera;3000
Estadio Municipal Eladio Rojas;Tierra Amarilla;3000
Estadio Municipal de San Francisco de Mostazal;San Francisco de Mostazal;3000
Estadio de Hanga Roa;Isla de Pascua;3000
Estadio Facela;Laja;3000
Estadio Municipal de Salamanca;Salamanca;3000
Estadio Municipal Ángel Navarrete Candia;Limache;3000
Estadio Gustavo Ocaranza;Limache;3000
Estadio Municipal Matías Vidal Pérez;Villarrica;3000
Estadio Municipal Luis Figueroa Riquelme;Cabrero;3000
Estadio Municipal de Puente Alto;Puente Alto;3000
Estadio Municipal de Pirque;Pirque;3000
Estadio Municipal de Peñalolén;Santiago ;3000
Estadio Municipal Alfonso Escobar;San Javier;3000
Estadio Municipal de Codegua;Codegua;3000
Estadio Municipal Juan Antonio Ríos;Santiago ;3000
Estadio Centenario de Cabildo;Cabildo;3000
Estadio Atlético Municipal de Concón;Concón;3000
Estadio Municipal de Concón;Concón;3000
Estadio Municipal El Alto;Nueva Imperial;3000
Estadio Canadela;Arica;3000
Stadio Italiano de Valparaíso;Viña del Mar;3000
Estadio Militar Los Héroes;Antofagasta;3000
Estadio Municipal Lucas Pacheco Toro;Talagante;2883
Estadio Municipal de Paine;Paine;2500
Estadio Fiscal de Mulchén;Mulchén;2500
Estadio Complejo Deportivo Labranza;Temuco ;2500
Estadio Saint George;Santiago ;2500
Estadio Hernán Villanueva;Iquique;2500
Estadio Schilling;Osorno;2500
Complejo Deportivo Algarrobo;Vallenar;2500
Estadio ANFA Luis Hernán Álvarez;Curicó;2400
Estadio Municipal Alcalde Claudio Guajardo Oyarce;Río Claro ;2300
Estadio Municipal de San Rafael;San Rafael;2220
Estadio Municipal Bernardo O'Higgins;Santiago ;2200
Estadio Municipal de Coltauco;Coltauco;2200
Estadio Escolar de Antofagasta;Antofagasta;2088
Estadio Boca Sur;San Pedro de la Paz;2062
Estadio Municipal Enrique Donn Müller;Constitución;2060
Estadio Municipal Patricio Mekis;Rancagua;2000
Estadio Municipal Guillermo Saavedra;Rancagua;2000
Estadio Municipal Nelson Valenzuela Rojas;Parral;2000
Estadio Municipal Eugenio Castro González;El Quisco;2000
Estadio Municipal Fernando Ross Marchessi;Cartagena;2000
Estadio Municipal de Nogales;Nogales;2000
Estadio Soinca;Melipilla;2000
Estadio Polideportivo de Calama;Calama;2000
Estadio Municipal de Mejillones;Mejillones;2000
Estadio Municipal de Chiguayante;Concepción ;2000
Estadio Municipal de Molina;Molina;2000
Estadio Municipal de María Elena;María Elena;2000
Estadio Municipal Samuel Valk;Los Lagos;2000
Estadio Esparta;Santiago ;2000
Estadio Municipal de Teno;Teno;2000
Estadio Municipal Belmor Rojas Iriarte;Taltal;2000
Estadio Municipal Alcalde Camilo Pérez Vicencio;Puchuncaví;2000
Estadio Municipal Los Notros;Loncoche;2000
Estadio Municipal de Lautaro;Lautaro;2000
Estadio CARR Feruchi;Santiago ;2000
Estadio Municipal Sur;Talca;2000
Estadio Municipal de Los Muermos;Los Muermos;2000
Estadio Cárcel Colina I;Colina;2000
Estadio Municipal de Hijuelas;Hijuelas;2000
Estadio Complejo Deportivo Cemento Melón;La Calera;2000
Estadio Las Torres;Viña del Mar;2000
Cancha 5 Sergio Marchant Muñoz;Antofagasta;2000
Complejo Deportivo Parcela 41;La Serena;2000
Estadio Municipal Enrique Doll Rojas;La Ligua;1800
Estadio Atlético Eliana Gaete Lazo;Santiago ;1800
Estadio Parque La Piscina;Curanilahue;1800
Estadio Municipal de San José de Maipo;San José de Maipo;1750
Estadio Municipal Fernando Cornejo;Quinta de Tilcoco;1750
Estadio Municipal Arturo Echazarreta Larraín;Casablanca;1672
Estadio Municipal de Santa María;Santa María;1600
Estadio Municipal Jorge Prieto Letelier;Llay-Llay;1600
Estadio Municipal Miguel Alarcón Osores;Cauquenes;1500
Cancha N°2 Estadio Fiscal Manuel Moya Medel;Cauquenes;1500
Estadio Colegio Quillón;Quillón;1500
Estadio Bernardino Luna;Coronel;1500
Estadio Municipal Lintz;Puerto Montt;1500
Estadio Municipal de Chimbarongo;Chimbarongo;1500
Estadio Olímpico Cuyuncaví;Curacaví;1500
Estadio Municipal Juan Rogelio Núñez;Tomé;1500
Estadio Modelo de Pudahuel;Santiago ;1500
Estadio Centenario de La Unión;La Unión;1500
Estadio Estrella Solitaria;Lampa ;1500
Complejo Deportivo Raimundo Tupper Lyon;Santiago ;1500
Estadio Municipal de Traiguén;Traiguén;1500
Estadio Centenario de Antofagasta;Antofagasta;1500
Estadio Municipal Villa Olímpica;Quilpué;1500
Estadio Municipal Joel Fritz;Ancud;1500
Estadio Municipal de Quellón;Quellón;1500
Estadio Municipal de Longaví;Longaví;1500
Estadio Municipal de Freire;Freire;1500
Estadio Municipal de Coihueco;Coihueco;1500
Estadio Municipal de Los Álamos;Los Álamos;1500
Estadio Fiscal Osvaldo Muñoz Carrillo;Pucón;1500
Estadio Municipal Aurelio Domínguez;El Monte;1500
Estadio Municipal Amador Poblete Villagrán;Perquenco;1500
Estadio El Alto;Padre Las Casas;1500
Estadio Municipal de Algarrobo;Algarrobo;1500
Estadio Municipal de Pichilemu;Pichilemu;1500
Estadio Municipal de Pitrufquén;Pitrufquén;1500
Estadio Municipal de Cajón;Vilcún ;1500
Estadio Municipal de Isla de Maipo;Isla de Maipo;1500
Estadio Gaete;Talcahuano;1500
Estadio Municipal de Coelemu;Coelemu;1500
Estadio Municipal René Correa Hermosilla;Santa Bárbara;1500
Complejo Deportivo Municipal de Los Vilos;Los Vilos;1500
Estadio Municipal de Coinco;Coinco;1500
Estadio Municipal de Empedrado;Empedrado;1500
Estadio Eladio Rojas;Valdivia;1500
Complejo Deportivo Santa Inés;La Serena ;1500
Estadio Atlético Bilbao;Santiago ;1500
Estadio Municipal Los Libertadores;Panquehue;1400
Estadio Municipal de Pedro Aguirre Cerda;Santiago ;1350
Estadio Atlético Quilamapu;Chillán;1336
Estadio Municipal de Victoria;Victoria;1300
Estadio Municipal de San Carlos;San Carlos;1300
Estadio Municipal de Curacautín;Curacautín;1300
Estadio Escuela Militar;Santiago ;1300
Complejo Deportivo Tadeo Haenke;Iquique;1300
Estadio Municipal de Rauco;Rauco;1300
Estadio Municipal de Lolol;Lolol;1300
Estadio Municipal Ewaldo Klein;Puerto Varas;1296
Estadio Tierra de Oro y Sol;Illapel ;1290​
Estadio Municipal de Quilicura;Santiago ;1225
Canchas 2, 3 y 4 Estadio Regional Calvo y Bascuñán;Antofagasta;1200
Cancha N°2 Estadio Germán Becker;Temuco;1200
Estadio Municipal de Cañete;Cañete;1200
Estadio Municipal de Hualqui;Hualqui;1200
Estadio Municipal de Nacimiento;Nacimiento;1200
Estadio Municipal de Hualpén;Concepción ;1200
Cancha N°2 Estadio La Pampilla;Coquimbo;1200
Estadio Parque Urbano Tierras Blancas;Coquimbo ;1200
Estadio Escuela de Investigaciones Policiales;Santiago ;1200
Estadio Universidad de Concepción;Concepción;1200
Estadio Municipal de Monte Águila;Cabrero ;1200
Estadio Municipal Alcalde Alejandro Floody;Carahue;1200
Estadio Atlético Provincial de Lebu;Lebu;1200
"Estadio N° 1 Segundo ""Pichincho"" Ortiz";El Salvador;1200
Estadio Erwin Fischer Luft;Valparaíso;1200
Estadio Municipal de Puerto Octay;Puerto Octay;1200
Estadio Centro Recreativo Jorge Larrondo;Ovalle ;1200
Estadio Marista de Los Andes;Los Andes;1200
Complejo Deportivo Omar Dib Sanhueza;Traiguén;1200
Estadio Las Dunas;Caldera;1200
Estadio Cardenal Caro;Santiago ;1152
Estadio Municipal de Pelarco;Pelarco;1140
Estadio Municipal Eleodoro Pintor Salvadores;Lanco;1120
Cancha Las Vegas;Osorno ;1120
Estadio Municipal de Panguipulli;Panguipulli;1100
Estadio Municipal El Rungue;Nogales ;1100
Estadio Municipal de Huépil;Tucapel ;1100
Complejo Deportivo Escuela de Gendarmería ;Santiago ;1100
Estadio La Anivana;Graneros ;1100
Estadio Pueblo Nuevo;La Calera;1078
Estadio Jorge Hidalgo;La Calera;1078
Estadio Municipal de San Clemente;San Clemente;1060
Estadio Municipal de Olivar Bajo;Olivar ;1050
Estadio Centenario de Los Andes;Los Andes;1004
Estadio Municipal Los Aromos;Máfil;1002
Estadio Chacabuco;Santiago ;1000
Estadio Municipal de San Ramón;Santiago ;1000
Estadio Atlético Ramón Tapia Chambilla;Copiapó;1000
Estadio Municipal Lo Blanco;Santiago ;1000
Estadio Municipal de San Pedro;San Pedro;1000
Estadio Municipal de Las Condes;Santiago ;1000
Estadio Municipal José Campos Orellana;Quillón;1000
Cancha N°2 Estadio Municipal de La Pintana;Santiago ;1000
Estadio Las Ánimas;Valdivia;1000
Estadio Municipal N°2 Del Nacional;Valdivia;1000
Estadio Municipal de Lampa;Lampa;1000
Estadio Gasco;Santiago ;1000
Estadio Municipal Edmundo Larre Bollmann;Río Bueno;1000
Estadio Centenario de Purranque;Purranque;1000
Estadio Municipal de Monte Patria;Monte Patria;1000
Estadio Municipal de Renca;Santiago ;1000
Estadio Municipal de Lota;Lota;1000
Estadio Municipal de San Pedro de Atacama;San Pedro de Atacama;1000
Estadio Municipal Jonattan Muñoz Allulef;Villarrica ;1000
Estadio Municipal de Huasco Bajo;Huasco ;1000
Estadio Municipal de Huasco;Huasco;1000
Estadio Escuela de Carabineros;Santiago ;1000
Estadio Militar de Santiago;Santiago ;1000
Estadio Municipal de Placilla de Peñuelas;Valparaíso ;1000
Estadio Ramón Alarcón Alarcón;San Antonio;1000
Estadio Municipal de Olmué;Olmué;1000
Estadio Instituto Nacional;Santiago ;1000
Estadio Fiscal Ramón Cañas;Punta Arenas;1000
Estadio 18 de Septiembre;Punta Arenas;1000
Estadio Municipal Santa Anita;Santiago ;1000
Estadio Malloco Atlético;Santiago (Malloco, Peñaflor);1000
Complejo Deportivo Jaime Fernández García;Talca;1000
Complejo Deportivo Gilberto Tapia Novoa;Talca;1000
Estadio Estero Lobos;Puerto Montt;1000
Estadio El Roble;Chillán;1000
Complejo Deportivo Río Viejo;Chillán;1000
Campo Deportivo Colegio Seminario Padre Alberto Hurtado;Chillán;1000
Estadio Municipal de Pinto;Pinto;1000
Estadio Municipal José Fuentes Espinoza;Florida;1000
Complejo Deportivo ANFA Chiguayante;Concepción ;1000
Estadio Municipal de Carampangue;Arauco ;1000
Estadio Municipal Laureano Rosales;Futrono;1000
Estadio Municipal Roberto Echeverría Boutaud;Cunco;1000
Estadio Municipal de Melipeuco;Melipeuco;1000
Estadio Municipal de Alerce;Puerto Montt ;1000
Estadio Antonio Varas;Puerto Montt;1000
Estadio Luis Cruchaga;Curacaví;1000
Complejo Deportivo Alexander Kurtovic;Tocopilla;1000
Centro Deportivo y Recreacional Villa Esperanza;Antofagasta;1000
Stade Francais;Santiago ;1000
Estadio El Bosque de Santa Inés;Viña del Mar;1000
Estadio Contraloría;Santiago ;1000
Estadio El Parrón;Buin ;1000
Estadio El Cacique;Buin;1000
Estadio Municipal de Cerrillos;Santiago ;1000
Estadio C.T.I.;Santiago ;1000
Estadio Víctor Braun Page;María Pinto;1000
Estadio Old Grangonian Club;Colina ;1000
Estadio Municipal de Til Til;Til Til;1000
Estadio Polpaico;Til Til ;1000
Estadio Municipal Rafael Olate;Papudo;1000
Estadio Municipal de El Tabo;El Tabo;1000
Estadio Huracán de Llolleo;San Antonio ;1000
Estadio Marista de Rancagua;Rancagua;1000
Pista Atlética Patricio Mekis;Rancagua;1000
Estadio Colegio Los Cipreses;Doñihue ;1000
Complejo Deportivo Agrosuper;Doñihue ;1000
Estadio Municipal Guillermo Chacón;Machalí;1000
