PK_NOMBRE_COMUNA,FK_NOMBRE_REGION
Penaflor,region metropolitana de santiago
Padre hurtado,region metropolitana de santiago
Isla de maipo,region metropolitana de santiago
El monte,region metropolitana de santiago
Talagante,region metropolitana de santiago
San pedro,region metropolitana de santiago
Maria pinto,region metropolitana de santiago
Curacavi,region metropolitana de santiago
Alhue,region metropolitana de santiago
Melipilla,region metropolitana de santiago
Paine,region metropolitana de santiago
Calera de tango,region metropolitana de santiago
Buin,region metropolitana de santiago
San bernardo,region metropolitana de santiago
Til til,region metropolitana de santiago
Lampa,region metropolitana de santiago
Colina,region metropolitana de santiago
San jose de maipo,region metropolitana de santiago
Pirque,region metropolitana de santiago
Puente alto,region metropolitana de santiago
Vitacura,region metropolitana de santiago
San ramon,region metropolitana de santiago
San miguel,region metropolitana de santiago
San joaquin,region metropolitana de santiago
Renca,region metropolitana de santiago
Recoleta,region metropolitana de santiago
Quinta normal,region metropolitana de santiago
Quilicura,region metropolitana de santiago
Pudahuel,region metropolitana de santiago
Providencia,region metropolitana de santiago
Penalolen,region metropolitana de santiago
Pedro aguirre cerda,region metropolitana de santiago
Nunoa,region metropolitana de santiago
Maipu,region metropolitana de santiago
Macul,region metropolitana de santiago
Lo prado,region metropolitana de santiago
Lo espejo,region metropolitana de santiago
Lo barnechea,region metropolitana de santiago
Las condes,region metropolitana de santiago
La reina,region metropolitana de santiago
La pintana,region metropolitana de santiago
La granja,region metropolitana de santiago
La florida,region metropolitana de santiago
La cisterna,region metropolitana de santiago
Independencia,region metropolitana de santiago
Huechuraba,region metropolitana de santiago
Estacion central,region metropolitana de santiago
El bosque,region metropolitana de santiago
Conchali,region metropolitana de santiago
Cerro navia,region metropolitana de santiago
Cerrillos,region metropolitana de santiago
Santiago,region metropolitana de santiago
Torres del paine,region de magallanes y de la antartica chilena
Natales,region de magallanes y de la antartica chilena
Timaukel,region de magallanes y de la antartica chilena
Primavera,region de magallanes y de la antartica chilena
Porvenir,region de magallanes y de la antartica chilena
Antartica,region de magallanes y de la antartica chilena
Cabo de hornos,region de magallanes y de la antartica chilena
San gregorio,region de magallanes y de la antartica chilena
Rio verde,region de magallanes y de la antartica chilena
Laguna blanca,region de magallanes y de la antartica chilena
Punta arenas,region de magallanes y de la antartica chilena
Rio ibanez,region de aysen del general carlos ibanez del campo
Chile chico,region de aysen del general carlos ibanez del campo
Tortel,region de aysen del general carlos ibanez del campo
Ohiggins,region de aysen del general carlos ibanez del campo
Coyhaique / coihaique,region de aysen del general carlos ibanez del campo
Cochrane,region de aysen del general carlos ibanez del campo
Guaitecas,region de aysen del general carlos ibanez del campo
Cisnes,region de aysen del general carlos ibanez del campo
Aysen / aisen,region de aysen del general carlos ibanez del campo
Lago verde,region de aysen del general carlos ibanez del campo
Palena,region de los lagos
Hualaihue,region de los lagos
Futaleufu,region de los lagos
Chaiten,region de los lagos
San pablo,region de los lagos
San juan de la costa,region de los lagos
Rio negro,region de los lagos
Puyehue,region de los lagos
Purranque,region de los lagos
Puerto octay,region de los lagos
Osorno,region de los lagos
Quinchao,region de los lagos
Quemchi,region de los lagos
Quellon,region de los lagos
Queilen,region de los lagos
Puqueldon,region de los lagos
Dalcahue,region de los lagos
Curaco de velez,region de los lagos
Chonchi,region de los lagos
Ancud,region de los lagos
Castro,region de los lagos
Puerto varas,region de los lagos
Maullin,region de los lagos
Llanquihue,region de los lagos
Los muermos,region de los lagos
Frutillar,region de los lagos
Fresia,region de los lagos
Cochamo,region de los lagos
Calbuco,region de los lagos
Puerto montt,region de los lagos
Rio bueno,region de los rios
Lago ranco,region de los rios
Futrono,region de los rios
La union,region de los rios
Panguipulli,region de los rios
Paillaco,region de los rios
Mariquina,region de los rios
Mafil,region de los rios
Los lagos,region de los rios
Lanco,region de los rios
Corral,region de los rios
Valdivia,region de los rios
Victoria,region de la araucania
Traiguen,region de la araucania
