PK_NOMBRE_REGION,FK_NOMBRE_PAIS
Region de Tarapaca,Chile
Region de Antofagasta,Chile
Region de Atacama,Chile
Region de Coquimbo,Chile
Region de Valparaiso,Chile
region del libertador general bernardo ohiggins,Chile
Region del Maule,Chile
Region del Bio Bio,Chile
Region de la Araucania,Chile
Region de Los Lagos,Chile
Region de Aysen del General Carlos Ibanez del Campo,Chile
Region de Magallanes y de la Antartica Chilena,Chile
Region Metropolitana de Santiago,Chile
Region de Los Rios,Chile
Region de Arica y Parinacota,Chile
Region de Nuble,Chile
