Región;Comuna;Establecimiento;Dirección
Region de Arica y Parinacota;Arica;Actividades Gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Arica);Calle Arturo Prat 305
Region de Arica y Parinacota;Arica;PRAIS (S.S Arica);Calle Arturo Prat 305
Region de Arica y Parinacota;Arica;Clínica Dental Móvil Simple. Pat. PW4076 (Arica);Calle Arturo Prat 305
Region de Arica y Parinacota;Arica;Oficina Sanitaria Chacalluta;
Region de Arica y Parinacota;Arica;Hospital Dr. Juan Noé Crevanni (Arica);Calle 18 de Septiembre 1000
Region de Arica y Parinacota;Arica;Clínica Hebe;Calle San Marcos 431
Region de Arica y Parinacota;Arica;Clínica San Agustín;Calle 21 de Mayo 720
Region de Arica y Parinacota;Arica;Clínica San José;Calle Juan Noé 1370
Region de Arica y Parinacota;Arica;Clínica Arica;Avenida Argentina 2249
Region de Arica y Parinacota;Arica;Complejo Penitenciario;
Region de Arica y Parinacota;Arica;Servicio Médico Estudiantil;Calle 18 de Septiembre 2222
Region de Arica y Parinacota;Arica;Centro Clínico Militar Arica;Avenida Gral. Velasquez 1700
Region de Arica y Parinacota;Arica;Policlínico del Trabajador AChS Arica;Calle Juan Noé 1367
Region de Arica y Parinacota;Arica;Instituto de Rehabilitación Infantil TELETÓN (Arica);Avenida Diego Portales 2471
Region de Arica y Parinacota;Arica;Centro Médico Monte Sinaí;Calle Esmeralda 1319
Region de Arica y Parinacota;Arica;Clínica Santo Domingo;Calle Campo Verde 2188
Region de Arica y Parinacota;Arica;Centro Integral de Salud;Calle Vicuña Mackenna 644
Region de Arica y Parinacota;Arica;Policlínico Institucional de Gendarmería de Chile (Arica);Calle Colón 30
Region de Arica y Parinacota;Arica;Policlínico del Agricultor;Avenida Manuel Castillo Ibaceta 3431
Region de Arica y Parinacota;Arica;Centro Odontológico Arisa;Calle Ricardo Silva Arriagada 482
Region de Arica y Parinacota;Arica;Centro de Salud Mutual CChC Arica;Avenida Argentina 2247
Region de Arica y Parinacota;Arica;Centro Dental Megasalud SpA;Calle San Marcos 121
Region de Arica y Parinacota;Arica;Clínica Dr. Héctor Sánchez;Calle 18 de Septiembre 1286
