PK_NOMBRE_CENTRO;FK_COMUNA
Actividades Gestionadas por la Direccion del Servicio para apoyo de la Red (S.S de Arica);Arica
PRAIS (S.S Arica);Arica
Clinica Dental Movil Simple. Pat. PW4076 (Arica);Arica
Oficina Sanitaria Chacalluta;Arica
Hospital Dr. Juan Noe Crevanni (Arica);Arica
Clinica Hebe;Arica
Clinica San Agustin;Arica
Clinica San Jose;Arica
Clinica Arica;Arica
Complejo Penitenciario;Arica
Servicio Medico Estudiantil;Arica
Centro Clinico Militar Arica;Arica
Policlinico del Trabajador AChS Arica;Arica
Instituto de Rehabilitacion Infantil TELETON (Arica);Arica
Centro Medico Monte Sinai;Arica
Clinica Santo Domingo;Arica
Centro Integral de Salud;Arica
Policlinico Institucional de Gendarmeria de Chile (Arica);Arica
Policlinico del Agricultor;Arica
Centro Odontologico Arisa;Arica
Centro de Salud Mutual CChC Arica;Arica
Centro Dental Megasalud SpA;Arica
Clinica Dr. Hector Sanchez;Arica
Clinica Mella Arica y Compania Ltda.;Arica
Policlinico Medico-Dental de Carabineros;Arica
Laboratorio Clinico San Jose Ltda.;Arica
Laboratorio Clinico y Hematologico Diagnotest;Arica
Laboratorio Clinico Central;Arica
Laboratorio Clinico San Martin;Arica
Laboratorio Clinico Dialab;Arica
Laboratorio Clinico del Norte - Labonorte;Arica
Laboratorio Clinico Chungara;Arica
Laboratorio Clinico Biolascer;Arica
Centro de Salud Familiar Victor Bertin Soto;Arica
Centro de Salud Familiar Dr. Amador Neghme de Arica;Arica
Centro de Salud Familiar E. U. Iris Veliz Hume (Ex Oriente);Arica
Centro de Salud Familiar Putre;Putre
Centro de Salud Familiar Remigio Sapunar;Arica
Centro de Salud Ambiental de Arica;Arica
Centro de Salud Familiar Eugenio Petruccelli Astudillo (ex Punta Norte);Arica
Posta de Salud Rural San Miguel de Azapa;Arica
Posta de Salud Rural Poconchile;Arica
Posta de Salud Rural Belen (Putre);Putre
Posta de Salud Rural Visviri;General Lagos
Posta de Salud Rural Alcerreca;General Lagos
Posta de Salud Rural Codpa;Camarones
Posta de Salud Rural Ticnamar;Putre
Posta de Salud Rural Sobraya;Arica
Centro de Salud Mental Comunitaria Norte;Arica
ESSMA Sur de Arica;Arica
Centro Comunitario de Salud Familiar Dr. Miguel Massa;Arica
Centro Comunitario de Salud Familiar Dr. Rene Garcia Valenzuela;Arica
Centro Comunitario de Salud Familiar Cerro La Cruz;Arica
SAPU Marco Antonio Carvajal Moreno;Arica
SAPU Iris Veliz Hume;Arica
Centro Medico Lifemed;Arica
Policlinico Centro de Cumplimiento Penitenciario Iquique;Iquique
Policlinico de Atencion Primaria del Centro de Detencion Preventiva de Pozo Almonte;Pozo Almonte
SAPU Huara;Huara
Centro de Dialisis Alto Hospicio;Alto Hospicio
Laboratorio Medico Bioclinic Ltda.;Iquique
Actividades Gestionadas por la Direccion del Servicio para apoyo de la Red (S.S de Iquique);Iquique
PRAIS (S.S. Iquique);Iquique
Clinica Dental Movil Simple. Pat. RW6740 (Iquique);Iquique
Hospital Dr. Ernesto Torres Galdames (Iquique);Iquique
Clinica Iquique;Iquique
Clinica Tarapaca;Iquique
Centro Clinico Militar Iquique;Iquique
Centro Medico y Dental Megasalud Iquique;Iquique
Centro de Salud Mutual CChC Iquique;Iquique
Policlinico Naval de Iquique;Iquique
Policlinico FACH de Iquique;Iquique
Policlinico Carabineros de Iquique;Iquique
Clinica Coposa Cia. Minera Dona Ines de Collahuasi;Pica
Clinica Establecimiento Penitenciario Alto Hospicio;Alto Hospicio
Centro de Atencion Instituto de Seguridad del Trabajador Iquique;Iquique
Policlinico del Trabajador AChS Iquique;Iquique
Vacunatorio Sonrisa Infantil;Iquique
Centro Medico y Dental Megasalud Alto Hospicio;Alto Hospicio
Vacunatorio Vacumed;Iquique
Centro de Salud Universidad Arturo Prat;Iquique
Laboratorio Clinico Bionet;Iquique
Laboratorio Clinico Automatizado Elmo;Iquique
Laboratorio Clinico Automatizado Biogenesis;Iquique
Clinicum Laboratorio Automatizado Ltda.;Iquique
Centro de Dialisis Medicen;Iquique
Centro de Dialisis Iquique;Iquique
Centro de Dialisis Corporacion Paul Harris;Iquique
Laboratorio Clinico Iquilab;Iquique
Laboratorio Clinico Playa Brava;Iquique
Laboratorio Clinico del Norte;Alto Hospicio
Laboratorio Clinico OASIS S.A.C.;Iquique
Laboratorio Clinico Wallace Ltda.;Iquique
Centro de Dialisis la Tirana;Iquique
Laboratorio Clinico Costanera;Iquique
Laboratorio Clinico Arauco Ltda.;Iquique
Centro de Salud Familiar Cirujano Aguirre;Iquique
Centro de Salud Familiar Cirujano Videla;Iquique
Centro de Salud Familiar Cirujano Guzman;Iquique
Centro de Salud Familiar Pozo Almonte;Pozo Almonte
Centro de Salud Familiar Dr. Juan Marquez Vismarra;Pica
Centro de Salud Familiar Pedro Pulgar Melgarejo;Alto Hospicio
Centro de Salud Familiar Sur de Iquique;Iquique
Centro de Salud Familiar Dr. Hector Reyno Gutierrez;Alto Hospicio
Centro de Salud Familiar Dr. Amador Neghme Rodriguez;Huara
Centro de Salud Familiar Camina;Camina
Centro de Salud Familiar Colchane;Colchane
Posta de Salud Rural Pisagua;Huara
Posta de Salud Rural Huara;Huara
Posta de Salud Rural Tarapaca;Huara
Posta de Salud Rural Mamina;Pozo Almonte
Posta de Salud Rural Camina;Camina
Posta de Salud Rural Colchane;Colchane
Posta de Salud Rural La Tirana;Pozo Almonte
Posta de Salud Rural Chiapa;Huara
Posta de Salud Rural Moquella;Camina
Posta de Salud Rural Enquelga;Colchane
Posta de Salud Rural Sibaya;Huara
Posta de Salud Rural Cancosa;Pica
Posta de Salud Rural Chanavayita;Iquique
Posta de Salud Rural San Marcos;Iquique
Posta de Salud Rural La Huayca;Pozo Almonte
Posta de Salud Rural Cariquima;Colchane
Posta de Salud Rural Matilla;Pica
COSAM Dr. Jorge Seguel Caceres;Iquique
COSAM Salvador Allende;Iquique
COSAM Enrique Paris;Alto Hospicio
Centro Comunitario de Salud Familiar Cerro Esmeralda;Iquique
Centro Comunitario de Salud Familiar El Boro;Alto Hospicio
SAPU Cirujano Aguirre;Iquique
SAPU Cirujano Videla;Iquique
SAPU Cirujano Guzman;Iquique
SAPU Pozo Almonte;Pozo Almonte
SAPU Pedro Pulgar Melgarejo;Alto Hospicio
SAR Sur de Iquique;Iquique
SAPU El Boro;Alto Hospicio
Laboratorio Clinico Wallace SpA.;Alto Hospicio
Posta de Salud Rural Pachica;Huara
Laboratorio Clinico TREZ-000;Alto Hospicio
Laboratorio Clinico de Nueva Clinica Tarapaca;Iquique
Instituto de Rehabilitacion Infantil TELETON (Iquique);Iquique
Centro Comunitario de Salud Familiar La Tortuga;Alto Hospicio
Vacunatorio y Sala de Procedimientos Daniela Alvarez;Calama
SAR Alemania;Calama
Laboratorio Clinico Atenea;Antofagasta
Centro Comunitario de Salud Familiar Oasis;Calama
Instituto de Rehabilitacion Infantil TELETON (Antofagasta);Antofagasta
Laboratorio Clinico Kausay;Antofagasta
Policlinico Gendarmeria Regional de Antofagasta;Antofagasta
COSAM Norte;Antofagasta
Vacunatorio Minimed;Antofagasta
Laboratorio Clinico Austral;Antofagasta
Centro Oncologico del Norte (CON);Antofagasta
Instituto de Rehabilitacion Infantil TELETON (Calama);Calama
Centro de Salud Familiar Valdivieso;Antofagasta
Laboratorio Clinico Lavoisier;Antofagasta
Actividades Gestionadas por la Direccion del Servicio para apoyo de la Red (S.S de Antofagasta);Antofagasta
