PK_NOMBRE_ESCUELA;FK_COMUNA;
Estadio Nacional Julio Martinez Pradanos;Santiago ;
Estadio Monumental David Arellano;Santiago ;
Estadio Ester Roa Rebolledo;Concepcion;
Estadio Sausalito;Vina del Mar;
Estadio Regional Calvo y Bascunan;Antofagasta;
Estadio Elias Figueroa Brander;Valparaiso;
Estadio Santa Laura - Universidad SEK;Santiago ;
Estadio Francisco Sanchez Rumoroso;Coquimbo;
Estadio German Becker;Temuco;
Estadio La Portada;La Serena;
Estadio Fiscal de Talca;Talca;
Estadio San Carlos de Apoquindo;Santiago ;
Estadio El Teniente;Rancagua;
Estadio Tierra de Campeones;Iquique;
Estadio Zorros del Desierto;Calama;
Estadio Bicentenario de La Florida;Santiago ;
Estadio Bicentenario Nelson Oyarzun;Chillan;
Estadio El Cobre;El Salvador;
Estadio Ruben Marcos Peralta;Osorno;
Estadio Huachipato-CAP Acero;Talcahuano;
Estadio Regional de Chinquihue;Puerto Montt;
Estadio Municipal de San Felipe;San Felipe;
Estadio Carlos Dittborn;Arica;
Estadio Municipal Nicolas Chahuan Nazar;La Calera;
Estadio Luis Valenzuela Hermosilla;Copiapo;
Estadio La Granja;Curico;
Estadio Municipal de La Cisterna;Santiago ;
Estadio Municipal Lucio Farina Fernandez;Quillota;
Estadio El Morro;Talcahuano;
Estadio Roberto Bravo Santibanez;Melipilla;
Estadio Municipal Jorge Silva Valenzuela;San Fernando;
Estadio Municipal de La Pintana;Santiago ;
Estadio Municipal Joaquin Munoz Garcia;Santa Cruz;
Estadio Diaguita;Ovalle;
Estadio Municipal Doctor Olegario Henriquez Escalante;San Antonio;
Estadio Fiscal Manuel Moya Medel;Cauquenes;
Estadio Municipal Nelson Rojas;Vallenar;
Estadio Parque Municipal;Valdivia;
Estadio Fiscal Antonio Rispoli Diaz;Punta Arenas;
Estadio Municipal de Los Angeles;Los Angeles;
Estadio Alberto Larraguibel;Angol;
Estadio Federico Schwager;Coronel;
Estadio Fiscal Tucapel Bustamante Lastra;Linares;
Estadio Santiago Bueras;Santiago ;
Estadio Lautaro de Buin;Buin;
Estadio Municipal de San Joaquin;Santiago ;
Estadio Municipal Luis Navarro Aviles;San Bernardo;
Estadio Municipal Italo Composto Scarpatti;Villa Alemana;
Estadio Regional de Los Andes;Los Andes;
